,PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,201572,00,0,62,62,31.6,5.6,11.1,0.507,1.1,3.3,0.33,2.4,2.9,0.839,2.1,4.1,6.2,0.8,0.7,1.8,1.1,2.6,14.8
0,201577,00,0,36,28,23.4,3.5,6.1,0.575,0.0,0.0,0.0,1.4,1.8,0.769,2.8,2.9,5.6,0.5,0.3,1.0,0.8,2.4,8.4
0,201567,00,0,63,62,31.1,5.0,12.3,0.403,2.2,5.5,0.404,3.2,3.7,0.854,2.0,7.7,9.7,1.8,0.7,0.5,1.7,2.4,15.3
0,200768,00,0,98,85,35.0,5.2,12.3,0.42,1.9,5.5,0.343,3.2,4.1,0.793,0.8,3.8,4.6,5.8,1.4,0.2,2.5,3.4,15.4
0,1627789,00,0,12,3,14.2,2.1,6.1,0.342,1.3,4.0,0.333,0.9,1.0,0.917,0.1,1.7,1.8,0.7,0.3,0.0,0.8,1.6,6.4
0,1626168,00,0,5,0,3.5,0.6,2.0,0.3,0.2,0.8,0.25,0.0,0.0,0.0,0.2,0.4,0.6,0.6,0.2,0.0,0.2,0.4,1.4
0,1629611,00,0,32,6,12.7,1.8,3.4,0.514,0.5,1.2,0.41,0.6,0.9,0.714,0.5,1.3,1.8,0.5,0.3,0.2,0.2,1.4,4.6
0,1626246,00,0,28,3,11.1,2.5,4.3,0.57,0.0,0.1,0.0,1.4,1.6,0.826,1.3,2.9,4.2,0.8,0.1,0.3,0.9,1.8,6.3
0,1630230,00,0,1,0,15.3,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,6.0
0,1628997,00,0,1,0,5.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
0,1629726,00,0,3,0,5.7,0.0,1.3,0.0,0.0,1.3,0.0,1.3,1.7,0.8,0.0,0.7,0.7,0.0,0.0,0.0,0.0,1.3,1.3
0,202083,00,0,53,48,31.6,3.5,9.0,0.392,1.7,4.9,0.341,2.1,2.6,0.818,0.6,2.3,2.9,1.2,1.1,0.3,1.2,2.8,10.8
0,1630178,00,0,13,1,15.0,3.3,6.7,0.494,0.7,1.5,0.45,1.5,2.1,0.704,0.2,1.8,2.0,1.4,0.2,0.5,0.4,1.2,8.8
