,Player,2021-22
422,Paul Reed,1517981
423,Kenyon Martin Jr.,1517981
424,Jae'Sean Tate,1517981
425,Lamar Stevens,1517981
426,Isaiah Todd,1500000
427,Jose Alvarado,1500000
428,Saben Lee,1489065
429,Omer Yurtseven,1489065
430,Armoni Brooks,1625991
431,J.R. Smith,1456666
432,Danuel House Jr.,2045094
433,Bismack Biyombo,1366392
434,DeMarre Carroll,1252127
435,JT Thor,1250000
436,Garrison Mathews,1093598
437,Alfonzo McKinnie,1090007
438,Jabari Parker,1068288
439,Jason Preston,1062303
440,Isaiah Livers,1057260
441,Guerschon Yabusele,1039080
442,Aaron Wiggins,1000000
443,Kyle Singler,999200
444,Marquese Chriss,958529
445,Jared Butler,925258
446,Greg Brown III,925258
447,Miles McBride,925258
448,Brandon Boston Jr.,925258
449,Marko Simonovic,925258
450,Vit Krejci,925258
451,Charles Bassey,925258
452,Dalano Banton,925258
453,Jock Landale,925258
454,Ayo Dosunmu,925258
455,Austin Reaves,925258
456,Luka Garza,925258
457,Lance Stephenson,924730
458,Stanley Johnson,888616
459,Miye Oni,850331
460,Wayne Selden,785102
461,Brad Wanamaker,705598
462,Alize Johnson,705598
463,DeMarcus Cousins,1290481
464,Shaun Livingston,666666
465,Sam Merrill,663024
466,Luke Kornet,606702
467,Ryan Arcidiacono,586136
468,Keifer Sykes,558345
469,Caleb Martin,527614
470,Georgios Kalaitzakis,462629
471,Gary Clark,377645
472,Devontae Cacok,364533
473,Sam Dekker,350000
474,Sam Hauser,313737
475,Admiral Schofield,0
476,Daishen Nix,292466
477,Haywood Highsmith,290967
478,Isaiah Thomas,276039
479,Trendon Watford,260561
480,Ish Wainright,8558
481,Malik Fitts,231062
482,Joe Wieskamp,202068
483,Amir Coffey,153488
484,Brandon Knight,0
485,Greg Monroe,55208
486,Troy Williams,122741
487,Nik Stauskas,0
488,Devin Cannady,100000
489,Wenyen Gabriel,29814
490,Theo Pinson,0
491,Brandon Goodwin,0
492,Davon Reed,0
493,Kelan Martin,0
494,Juwan Morgan,19186
495,Charlie Brown Jr.,0
496,Jared Harper,0
497,Rayjon Tucker,28779
498,Quinndary Weatherspoon,0
499,Demetrius Jackson,92857
500,Anthony Lamb,0
501,Nate Hinton,0
502,RJ Nembhard Jr.,58493
503,Xavier Moon,0
504,Mac McClung,0
505,Jordan Schakel,0
506,Brandon Williams,0
507,Braxton Key,0
508,Feron Hunt,0
509,Moses Wright,0
510,Malcolm Hill,0
511,Chaundee Brown Jr.,0
512,Luca Vildoza,51347
513,Skylar Mays,34231
514,Terry Taylor,21270
515,Duane Washington Jr.,21270
516,Trent Forrest,8558
517,Kessler Edwards,5318
